sample_id,sample_index,audio_path,sample_rate,channels,midi_note,velocity,note_duration_seconds,render_duration_seconds,wave_frame_sample_01,wave_frame_normalized,wave_frame_raw,wave_frame_display,filter_cutoff_sample_01,filter_cutoff_normalized,filter_cutoff_raw,filter_cutoff_display,filter_resonance_sample_01,filter_resonance_normalized,filter_resonance_raw,filter_resonance_display,filter_drive_sample_01,filter_drive_normalized,filter_drive_raw,filter_drive_display,amp_attack_sample_01,amp_attack_normalized,amp_attack_raw,amp_attack_display,amp_decay_sample_01,amp_decay_normalized,amp_decay_raw,amp_decay_display,amp_sustain_sample_01,amp_sustain_normalized,amp_sustain_raw,amp_sustain_display,amp_release_sample_01,amp_release_normalized,amp_release_raw,amp_release_display,peak,peak_dbfs,audio_rms,rms_dbfs,dc_offset,stereo_difference_rms,is_silent,is_clipped,dc_to_rms_ratio,has_large_dc_offset
pilot_v1_00000,0,data\raw\audio\pilot_v1\pilot_v1_00000.wav,44100,1,60,0.8,1.5,3.0,0.5593362934887409,0.5593363046646118,143.19009399414062,143.190094,0.35798334889113903,0.4968908429145813,71.6020278930664,11.602028 semitones,0.3310278169810772,0.26482224464416504,0.26482224464416504,26.482224%,0.6947665233165026,0.5210748910903931,10.421497344970703,10.421497dB,0.3448154656216502,0.18792618811130524,0.4469674229621887,0.039912 secs,0.30886679142713547,0.2581033706665039,0.6138782501220703,0.142013 secs,0.252347937785089,0.40187835693359375,0.40187835693359375,0.401878,0.2938344404101372,0.20284205675125122,0.482443630695343,0.054173 secs,0.2208702713251114,-13.117254706411606,0.026441400888545456,-31.55431078550704,2.067464223585342e-06,0.0,False,False,7.819041934653991e-05,False
pilot_v1_00001,1,data\raw\audio\pilot_v1\pilot_v1_00001.wav,44100,1,60,0.8,1.5,3.0,0.046786118298769,0.046786118298769,11.977246284484863,11.977246,0.5787458792328835,0.6183102130889893,87.14370727539062,27.143707 semitones,0.7543894024565816,0.6035115122795105,0.6035115122795105,60.351151%,0.11040114145725965,0.08280085772275925,1.6560171842575073,1.656017dB,0.7898440714925528,0.36593762040138245,0.8703534007072449,0.573829 secs,0.7714995518326759,0.4200248420238495,0.9989955425262451,0.995988 secs,0.7753963703289628,0.8203170895576477,0.8203170895576477,0.820317,0.8250333163887262,0.3887616693973541,0.924638569355011,0.730951 secs,0.12418770045042038,-18.118428291082644,0.048507244060351194,-26.28386798238367,1.3902244189396303e-08,0.0,False,False,2.866014027121303e-07,False
pilot_v1_00002,2,data\raw\audio\pilot_v1\pilot_v1_00002.wav,44100,1,60,0.8,1.5,3.0,0.42309348564594984,0.4230934977531433,108.31193542480469,108.311935,0.20699091162532568,0.4138450026512146,60.97216033935547,0.972160 semitones,0.20045457035303116,0.16036365926265717,0.16036365926265717,16.036366%,0.7989680962637067,0.5992260575294495,11.98452091217041,11.984521dB,0.5649668471887708,0.2759867310523987,0.6564123630523682,0.185655 secs,0.6991193881258368,0.3946917951107025,0.9387428760528564,0.776581 secs,0.01361905224621296,0.21089524030685425,0.21089524030685425,0.210895,0.6221818989142776,0.31776365637779236,0.7557754516601562,0.326266 secs,0.16276881098747253,-15.768576179807344,0.023444584604772802,-32.5991491552424,6.0414614527740186e-05,0.0,False,False,0.0025769112802041757,False
pilot_v1_00003,3,data\raw\audio\pilot_v1\pilot_v1_00003.wav,44100,1,60,0.8,1.5,3.0,0.9082851288840175,0.9082851409912109,232.52099609375,232.520996,0.9821949237957597,0.8402072191238403,115.54652404785156,55.546524 semitones,0.6521211499348283,0.521696925163269,0.521696925163269,52.169693%,0.37924453988671303,0.28443339467048645,5.6886677742004395,5.688668dB,0.011097058653831482,0.05443882569670677,0.12947839498519897,0.000281 secs,0.2203430375084281,0.227120041847229,0.540186882019043,0.085148 secs,0.5210756324231625,0.6168605089187622,0.6168605089187622,0.616861,0.028481115587055683,0.109968401491642,0.26155105233192444,0.004680 secs,0.19574157893657684,-14.16633825590302,0.026817165451336278,-31.431742571373956,-0.0013336621422796353,0.0,False,False,0.049731659548424796,False
pilot_v1_00004,4,data\raw\audio\pilot_v1\pilot_v1_00004.wav,44100,1,60,0.8,1.5,3.0,0.8131392719224095,0.8131392598152161,208.1636505126953,208.163651,0.08918046485632658,0.34904927015304565,52.678306579589844,-7.321693 semitones,0.8989389622583985,0.7191511988639832,0.7191511988639832,71.915123%,0.305239649489522,0.22892972826957703,4.57859468460083,4.578595dB,0.24579735193401575,0.14831894636154175,0.352764755487442,0.015486 secs,0.45161665324121714,0.30806583166122437,0.7327099442481995,0.288223 secs,0.2258121445775032,0.38064971566200256,0.38064971566200256,0.380650,0.7429985664784908,0.3600494861602783,0.8563489317893982,0.537778 secs,0.12870028614997864,-17.808409749834787,0.009096231983518941,-40.82276944512798,-0.00022149317865081809,0.0,False,False,0.024349992288249876,False
pilot_v1_00005,5,data\raw\audio\pilot_v1\pilot_v1_00005.wav,44100,1,60,0.8,1.5,3.0,0.3315944792702794,0.33159446716308594,84.88818359375,84.888184,0.8490140857174993,0.7669577598571777,106.17059326171875,46.170593 semitones,0.4511915370821953,0.3609532415866852,0.3609532415866852,36.095325%,0.8895745454356074,0.6671808958053589,13.343618392944336,13.343618dB,0.6742320246994495,0.31969282031059265,0.7603638172149658,0.334261 secs,0.9728429550305009,0.4904950261116028,1.1666032075881958,1.852220 secs,0.7493808623403311,0.7995046973228455,0.7995046973228455,0.799505,0.14930717460811138,0.1522575169801712,0.36213234066963196,0.017198 secs,0.1790437549352646,-14.940816452489097,0.07410532295545877,-22.603011914055582,0.0009837006947968378,0.0,False,False,0.01327435945982037,False
pilot_v1_00006,6,data\raw\audio\pilot_v1\pilot_v1_00006.wav,44100,1,60,0.8,1.5,3.0,0.20053995586931705,0.2005399614572525,51.33823013305664,51.338230,0.4748091194778681,0.561145007610321,79.8265609741211,19.826561 semitones,0.5070513309910893,0.4056410789489746,0.4056410789489746,40.564110%,0.2009465591982007,0.15070991218090057,3.0141983032226562,3.014198dB,0.9610735243186355,0.43442943692207336,1.033255696296692,1.139807 secs,0.5564841162413359,0.3447694480419159,0.8200066089630127,0.452136 secs,0.4772265674546361,0.581781268119812,0.581781268119812,0.581781,0.4152038423344493,0.2453213632106781,0.583477258682251,0.115903 secs,0.1551269292831421,-16.186256084489592,0.04093819553621175,-27.75742607955573,-3.217876069890165e-07,0.0,False,False,7.86032708022952e-06,False
pilot_v1_00007,7,data\raw\audio\pilot_v1\pilot_v1_00007.wav,44100,1,60,0.8,1.5,3.0,0.7172252628952265,0.7172252535820007,183.6096649169922,183.609665,0.7109592221677303,0.6910275816917419,96.45153045654297,36.451530 semitones,0.07982691749930382,0.06386153399944305,0.06386153399944305,6.386153%,0.6208226718008518,0.46561700105667114,9.312339782714844,9.312340dB,0.3925476688891649,0.20701906085014343,0.492378294467926,0.058775 secs,0.019113807007670403,0.1566898375749588,0.37267425656318665,0.019289 secs,0.9851414291188121,0.9881131649017334,0.9881131649017334,0.988113,0.9463971415534616,0.4312390089035034,1.0256675481796265,1.106691 secs,0.27502521872520447,-11.212549625137449,0.13108074085275945,-17.649222254039177,-0.02439741052575047,0.0,False,False,0.18612505824296205,True
pilot_v1_00008,8,data\raw\audio\pilot_v1\pilot_v1_00008.wav,44100,1,60,0.8,1.5,3.0,0.6625480279326439,0.6625480055809021,169.61228942871094,169.612289,0.17080427519977093,0.39394235610961914,58.42462158203125,-1.575378 semitones,0.6168666062876582,0.49349328875541687,0.49349328875541687,49.349327%,0.9738334845751524,0.7303751111030579,14.607501983642578,14.607502dB,0.818507238291204,0.3774029016494751,0.8976226449012756,0.649195 secs,0.16778260748833418,0.20872391760349274,0.49643316864967346,0.060736 secs,0.15039578638970852,0.3203166425228119,0.3203166425228119,0.320317,0.6392194470390677,0.3237268030643463,0.7699583172798157,0.351454 secs,0.12809908390045166,-17.849079521952696,0.018701130466829276,-34.56264279903824,-0.00019065377425368785,0.0,False,False,0.01019477269525796,False
pilot_v1_00009,9,data\raw\audio\pilot_v1\pilot_v1_00009.wav,44100,1,60,0.8,1.5,3.0,0.17709698528051376,0.17709699273109436,45.336830139160156,45.336830,0.89144416898489,0.7902942895889282,109.15766906738281,49.157669 semitones,0.03240087814629078,0.025920702144503593,0.025920702144503593,2.592070%,0.3313313415274024,0.24849848449230194,4.969969749450684,4.969970dB,0.2656152043491602,0.15624608099460602,0.3716188073158264,0.019072 secs,0.6265081940218806,0.36927786469459534,0.8782979249954224,0.595069 secs,0.6273484900593758,0.7018787860870361,0.7018787860870361,0.701879,0.2331273229792714,0.18159456551074982,0.43190816044807434,0.034799 secs,0.24937376379966736,-12.062984797133002,0.08167600936517885,-21.758109794774718,-3.268996402546832e-06,0.0,False,False,4.002394862279488e-05,False
