query_id,query_audio_path,method,recommendation_rank,candidate_sample_id,candidate_audio_path,candidate_audio_rank,audio_cosine_similarity,mmr_score,query_parameter_distance,wave_frame_normalized,filter_cutoff_normalized,filter_resonance_normalized,filter_drive_normalized,amp_attack_normalized,amp_decay_normalized,amp_sustain_normalized,amp_release_normalized
pilot_v1_00045,data\raw\audio\pilot_v1\pilot_v1_00045.wav,audio_top_k_parameter_mmr,1,pilot_v1_00525,data\raw\audio\pilot_v1\pilot_v1_00525.wav,1,0.9384205467174151,0.7269077050190307,0.25049727520874043,0.44817206263542175,0.7263052463531494,0.37041574716567993,0.19030547142028809,0.19653576612472534,0.15580220520496368,0.44111815094947815,0.17123934626579285
pilot_v1_00045,data\raw\audio\pilot_v1\pilot_v1_00045.wav,audio_top_k_parameter_mmr,2,pilot_v1_00173,data\raw\audio\pilot_v1\pilot_v1_00173.wav,4,0.8855082869314134,0.5604927736645879,0.471317572489766,0.46908465027809143,0.6938945055007935,0.3849199414253235,0.17954696714878082,0.4220235347747803,0.47105494141578674,0.8235812783241272,0.2008451670408249
pilot_v1_00045,data\raw\audio\pilot_v1\pilot_v1_00045.wav,audio_top_k_parameter_mmr,3,pilot_v1_00685,data\raw\audio\pilot_v1\pilot_v1_00685.wav,2,0.9119623969179124,0.5504938475643376,0.4218442339428707,0.4721984565258026,0.7651207447052002,0.5732587575912476,0.6286710500717163,0.2851937413215637,0.3058824837207794,0.4607088267803192,0.3453792631626129
pilot_v1_00045,data\raw\audio\pilot_v1\pilot_v1_00045.wav,audio_top_k_parameter_mmr,4,pilot_v1_00093,data\raw\audio\pilot_v1\pilot_v1_00093.wav,14,0.832077414566739,0.5361475258783595,0.5201608644492619,0.40444111824035645,0.6996139287948608,0.013334107585251331,0.7016435265541077,0.3958032429218292,0.1918085366487503,0.9026821255683899,0.16985180974006653
pilot_v1_00045,data\raw\audio\pilot_v1\pilot_v1_00045.wav,audio_top_k_parameter_mmr,5,pilot_v1_00621,data\raw\audio\pilot_v1\pilot_v1_00621.wav,5,0.8831699117118383,0.5348486625633133,0.28933531521836875,0.48569899797439575,0.7942931056022644,0.1507626622915268,0.13574039936065674,0.37172242999076843,0.3470325469970703,0.3594123423099518,0.3587646484375
pilot_v1_00046,data\raw\audio\pilot_v1\pilot_v1_00046.wav,audio_top_k_parameter_mmr,1,pilot_v1_00958,data\raw\audio\pilot_v1\pilot_v1_00958.wav,1,0.9782097120362185,0.741828642013582,0.32129131503194014,0.048073455691337585,0.5691529512405396,0.5469590425491333,0.7376102805137634,0.18115077912807465,0.4232688844203949,0.4290710687637329,0.23870646953582764
pilot_v1_00046,data\raw\audio\pilot_v1\pilot_v1_00046.wav,audio_top_k_parameter_mmr,2,pilot_v1_00737,data\raw\audio\pilot_v1\pilot_v1_00737.wav,8,0.9352788086951456,0.5768139529025065,0.3952009454369105,0.02568325772881508,0.6697288751602173,0.10566827654838562,0.5093318223953247,0.3778786361217499,0.30326560139656067,0.9843775629997253,0.304916650056839
pilot_v1_00046,data\raw\audio\pilot_v1\pilot_v1_00046.wav,audio_top_k_parameter_mmr,3,pilot_v1_00209,data\raw\audio\pilot_v1\pilot_v1_00209.wav,9,0.9269068165508344,0.5695336949109565,0.5641664643088822,0.11445018649101257,0.8156684637069702,0.06770585477352142,0.31917279958724976,0.35215312242507935,0.49805423617362976,0.32764291763305664,0.13786548376083374
pilot_v1_00046,data\raw\audio\pilot_v1\pilot_v1_00046.wav,audio_top_k_parameter_mmr,4,pilot_v1_00017,data\raw\audio\pilot_v1\pilot_v1_00017.wav,12,0.9187666919645885,0.5533594099792495,0.31045737634674553,0.10149585455656052,0.7434598803520203,0.4590492844581604,0.43417230248451233,0.29063647985458374,0.1890207678079605,0.4272312819957733,0.12946128845214844
pilot_v1_00046,data\raw\audio\pilot_v1\pilot_v1_00046.wav,audio_top_k_parameter_mmr,5,pilot_v1_00854,data\raw\audio\pilot_v1\pilot_v1_00854.wav,2,0.9705303720103161,0.5509638222278375,0.32134217381661156,0.15429002046585083,0.49400103092193604,0.23359595239162445,0.682828426361084,0.33960703015327454,0.3458954095840454,0.6193709969520569,0.16769269108772278
pilot_v1_00068,data\raw\audio\pilot_v1\pilot_v1_00068.wav,audio_top_k_parameter_mmr,1,pilot_v1_00802,data\raw\audio\pilot_v1\pilot_v1_00802.wav,1,0.9139683850444268,0.71773814439166,0.5399128257642277,0.3927449882030487,0.5342074632644653,0.7408474683761597,0.703809916973114,0.09988874942064285,0.49853256344795227,0.24834077060222626,0.2905972898006439
pilot_v1_00068,data\raw\audio\pilot_v1\pilot_v1_00068.wav,audio_top_k_parameter_mmr,2,pilot_v1_00380,data\raw\audio\pilot_v1\pilot_v1_00380.wav,2,0.8981236168116531,0.6001710804974488,0.25572851793305124,0.9197208285331726,0.4447172284126282,0.4124387800693512,0.43813037872314453,0.33899277448654175,0.2385326474905014,0.9941420555114746,0.1950921267271042
pilot_v1_00068,data\raw\audio\pilot_v1\pilot_v1_00068.wav,audio_top_k_parameter_mmr,3,pilot_v1_00036,data\raw\audio\pilot_v1\pilot_v1_00036.wav,3,0.8842758295087454,0.5446222123727731,0.3992517314813715,0.847714364528656,0.5743168592453003,0.24372494220733643,0.6932505965232849,0.06088479235768318,0.4081321358680725,0.9524207711219788,0.11696040630340576
